Banco Falabella - Estado de Cuenta CMR
Tarjeta N: XXXX-XXXX-XXXX-7788
Periodo: 01/02/2026 al 28/02/2026

Fecha;Descripcion;Monto;Cuotas;Rubro
04/02/2026;FALABELLA RETAIL PLAZA VESPUCIO CUOTA 2 DE 6;49.990;2 de 6;Vestuario
07/02/2026;SODIMAC HOMECENTER CUOTA 3 DE 12;35.000;3 de 12;Hogar
09/02/2026;COMPRA WEBPAY PARIS CL;29.990;;Vestuario
12/02/2026;SEGURO CMR PROTECCION;4.990;;Seguros
14/02/2026;PAGO RECIBIDO GRACIAS;-120.000;;Pagos
18/02/2026;TOTTUS LA FLORIDA;18.750;;Supermercado
22/02/2026;ANULACION COMPRA PARIS CL;-29.990;;Vestuario
25/02/2026;INTERES POR AVANCE EN EFECTIVO;7.400;;Financiero
26/02/2026;RIPLEY MALL COSTANERA 1/3;22.500;1 de 3;Vestuario
TOTAL FACTURADO;;;;
